Commodity Name,Quantity,"Unit of
Measure","Average Price
November
2020","Average Price
October
2021","Average Price
November
2021","% Change
over last
month
November
2021/
October
2021","% Change
over last
year
November
2021/
November
2020"
White bread,400,Gram,48.21,52.17,52.45,0.53,8.79
Beef - With Bones,1,Kg,443.19,485.15,490.65,1.13,10.71
Fresh packeted cow milk,500,Ml,48.57,50.02,50.18,0.33,3.32
Cooking Fat,500,Gram,104.18,130.60,136.16,4.25,30.69
Cooking Oil (Salad),1,Litre,201.09,274.22,289.95,5.74,44.19
Oranges,1,Kg,65.02,69.65,71.27,2.34,9.61
Kale-Sukuma Wiki,1,Kg,48.07,56.64,56.07,-1.00,16.64
Tomatoes,1,Kg,85.89,103.01,98.89,-4.00,15.14
Carrots,1,Kg,70.86,79.17,78.41,-0.97,10.65
Onion -Leeks and Bulbs,1,Kg,1 03.24,1 14.39,1 14.87,0.42,11.27
Potatoes (Irish),1,Kg,6 4.39,68.45,70.74,3.34,9.85
Sugar,1,Kg,1 12.36,1 13.70,1 27.27,11.94,13.27
Mineral Water,500,Ml,2 9.46,3 0.08,3 0.18,0.31,2.43
House rent - single room,1,Per Month,"3 ,626.86","3 ,749.47","3 ,769.29",0.53,3.93
Electricity,5 0,Kilowatts,8 06.37,9 25.08,9 21.43,-0.39,14.27
Electricity,200,Kilowatts,"4 ,629.07","5 ,103.91","5 ,089.31",-0.29,9.94
Gas/LPG,1 3,Kg,"2 ,019.88","2 ,513.74","2 ,611.18",3.88,29.27
Kerosene/Paraffin,1,Litre,8 2.78,1 04.46,104.46,0.00,26.18
Petrol,1,Litre,1 06.71,130.54,130.54,0.00,22.33
Diesel,1,Litre,9 1.65,1 11.51,111.51,0.00,21.67
"Country Bus /Matatu Fare
(Nairobi to Malaba)",1,Ticket,"1 ,500.00","1,500.00","1,200.00",-20.00,-20.00
